GRanD ID= 610
Dam/Reservoir Name= Lake_Mead/Hoover
Approximated Geometry= Rectangular Prism
Mean Length (km)= 126.40
Mean Width (km)= 6.60
Mean Depth (m)= 63.20
Dam Height (m)= 211.85
Depth(m)	,	Area(skm)	,	Storage(mcm)	
73.50,315.84,5091.89
73.60,316.18,5104.85
73.70,316.52,5117.82
73.80,316.85,5130.80
73.90,317.19,5143.80
74.00,317.53,5156.81
74.10,317.87,5169.84
74.20,318.21,5182.88
74.30,318.54,5195.93
74.40,318.88,5209.00
74.50,319.22,5222.08
74.60,319.56,5235.18
74.70,319.89,5248.28
74.80,320.23,5261.41
74.90,320.57,5274.54
75.00,320.90,5287.69
75.10,321.24,5300.86
75.20,321.57,5314.03
75.30,321.91,5327.23
75.40,322.24,5340.43
75.50,322.58,5353.65
75.60,322.91,5366.88
75.70,323.25,5380.13
75.80,323.58,5393.39
75.90,323.91,5406.66
76.00,324.25,5419.95
76.10,324.58,5433.25
76.20,324.91,5446.56
76.30,325.25,5459.89
76.40,325.58,5473.24
76.50,325.91,5486.59
76.60,326.24,5499.96
76.70,326.57,5513.34
76.80,326.91,5526.74
76.90,327.24,5540.15
77.00,327.57,5553.57
77.10,327.90,5567.01
77.20,328.23,5580.46
77.30,328.56,5593.92
77.40,328.89,5607.40
77.50,329.22,5620.89
77.60,329.55,5634.40
77.70,329.88,5647.92
77.80,330.21,5661.45
77.90,330.54,5674.99
78.00,330.87,5688.55
78.10,331.19,5702.12
78.20,331.52,5715.71
78.30,331.85,5729.31
78.40,332.18,5742.92
78.50,332.50,5756.55
78.60,332.83,5770.19
78.70,333.16,5783.84
78.80,333.49,5797.51
78.90,333.81,5811.19
79.00,334.14,5824.88
79.10,334.46,5838.59
79.20,334.79,5852.30
79.30,335.11,5866.04
79.40,335.44,5879.78
79.50,335.76,5893.54
79.60,336.09,5907.32
79.70,336.41,5921.10
79.80,336.74,5934.90
79.90,337.06,5948.72
80.00,337.39,5962.54
80.10,337.71,5976.38
80.20,338.03,5990.23
80.30,338.35,6004.10
80.40,338.68,6017.98
80.50,339.00,6031.87
80.60,339.32,6045.78
80.70,339.64,6059.70
80.80,339.97,6073.63
80.90,340.29,6087.57
81.00,340.61,6101.53
81.10,340.93,6115.50
81.20,341.25,6129.49
81.30,341.57,6143.49
81.40,341.89,6157.50
81.50,342.21,6171.52
81.60,342.53,6185.56
81.70,342.85,6199.61
81.80,343.17,6213.67
81.90,343.49,6227.75
82.00,343.81,6241.84
